FN	FACID	FASAT	FAMS	FAPU	FAPUN3	FAPUN6	F4D0	F6D0	F7D0	F8D0	F10D0	F12D0	F13D0	F14D0	F15D0	F15D0AI	F16D0	F16D0I	F17D0	F17D0AI	F18D0	F20D0	F22D0	F24D0	F10D1	F14D1	F15D1	F16D1	F17D1	F18D1	F18D1CN9	F18D1CN7	F20D1	F22D1	F24D1	F16D2	F16D3	F16D4	F18D2N6	F18D3N3	F18D3N6	F18D4N3	F20D2N6	F20D3N3	F20D3N6	F20D4N3	F20D4N6	F20D5N3	F21D5N3	F22D2	F22D4N6	F22D5N3	F22D5N6	F22D6N3	FAUN	NoticeFA		
01032	(1.91)	(0.90)	(0.57)	(0.44)	(0.03)	(0.41)	(0)	(Tr)	(0)	(10)	(9)	(100)	(0)	(48)	(2)	(0)	(620)	(0)	(2)	(0)	(99)	(6)	(3)	(2)	(0)	(0)	(0)	(6)	(1)	(550)	-	-	(7)	(10)	(Tr)	(0)	(0)	(0)	(410)	(30)	(0)	(0)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	主原料配合： ライ麦粉 50 %<br>原材料配合割合から推計		
01033	(3.12)	(1.57)	(0.97)	(0.58)	(0.03)	(0.56)	(Tr)	(1)	(0)	(19)	(16)	(180)	(Tr)	(86)	(6)	(0)	(1100)	(Tr)	(3)	(0)	(180)	(10)	(4)	(2)	(0)	(0)	(0)	(10)	(1)	(930)	-	-	(8)	(16)	(0)	(Tr)	(0)	(0)	(550)	(26)	(0)	(0)	(4)	(0)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	原材料配合割合から推計		
01034	8.15	4.02	2.86	1.26	0.12	1.14	75	48	0	55	70	220	0	320	28	10	2500	5	21	10	550	28	28	9	5	20	0	55	7	2700	2700	83	26	2	0	0	0	0	1100	120	0	0	3	-	3	0	7	0	0	0	0	0	0	0	-			
01035	(24.26)	(12.16)	(8.94)	(3.15)	(0.22)	(2.93)	(1)	(19)	(0)	(130)	(120)	(1100)	(0)	(640)	(29)	(Tr)	(8400)	(0)	(30)	(Tr)	(1400)	(120)	(91)	(21)	(0)	(12)	(0)	(65)	(10)	(8800)	-	-	(52)	(0)	(0)	(0)	(0)	(0)	(2900)	(220)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	原材料配合割合から推計		
01036	(3.09)	(1.21)	(0.70)	(1.19)	(0.06)	(1.13)	(0)	(Tr)	(0)	(9)	(8)	(92)	(0)	(46)	(3)	(0)	(920)	(0)	(4)	(0)	(110)	(6)	(2)	(1)	(0)	(0)	(0)	(30)	(2)	(650)	-	-	(10)	(8)	(0)	(0)	(0)	(0)	(1100)	(59)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	原材料配合割合から推計		
01037	2.98	0.53	1.45	1.00	0.19	0.81	-	-	-	-	0	3	-	7	2	-	390	-	3	-	92	13	9	5	0	0	0	13	2	1400	-	-	34	17	5	0	0	0	810	190	0	0	2	-	0	0	0	0	0	0	0	0	0	0	-			
01148	1.82	0.71	0.48	0.63	0.04	0.59	-	-	-	-	18	18	-	57	7	-	490	-	0	-	100	4	3	3	1	5	0	17	0	450	430	21	8	1	0	0	0	0	590	40	0	0	0	-	0	0	0	0	0	0	0	0	0	0	-			
01038	(0.50)	(0.14)	(0.05)	(0.31)	(0.02)	(0.29)	-	-	-	-	(0)	(0)	-	(1)	(1)	-	(130)	-	(1)	-	(6)	(Tr)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(52)	-	-	(2)	(0)	(0)	(0)	(0)	(0)	(290)	(16)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	きしめん、ひもかわを含む<br>01018中力粉1等から推計		
01039	(0.33)	(0.09)	(0.04)	(0.20)	(0.01)	(0.19)	-	-	-	-	(0)	(0)	-	(1)	(Tr)	-	(86)	-	(Tr)	-	(4)	(Tr)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(34)	-	-	(1)	(0)	(0)	(0)	(0)	(0)	(190)	(10)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	きしめん、ひもかわを含む<br>01018中力粉1等から推計		
01186	(2.80)	(0.78)	(0.30)	(1.71)	(0.09)	(1.63)	-	-	-	-	(0)	(Tr)	-	(5)	(3)	-	(730)	-	(4)	-	(35)	(3)	(0)	(0)	(0)	(0)	(0)	(0)	(1)	(290)	(290)	-	(12)	(0)	(0)	(0)	(0)	(0)	(1600)	(85)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(1)	01018 中力粉1等から推計		
