FN	FIBSOL	FIBINS	FIBTG	FIBSDFS	FIBSDFP	FIBIDF	STARES	FIBTDF	NoticeFIB				
02011	0.9	1.5	2.4	-	-	-	-	-					
02012	0.8	1.2	2.0	0.3	5.0	3.3	0.1	8.7					
02050	0.7	1.6	2.3	-	-	-	-	-					
02051	0.7	1.5	2.2	-	-	-	-	-					
02052	0.6	2.2	2.8	-	-	-	-	-					
02053	0.8	1.7	2.4	-	-	-	-	-					
02013	0.6	1.6	2.2	-	-	-	-	-					
02014	0.7	1.8	2.5	-	-	-	-	-					
02015	0.5	2.3	2.8	-	-	-	-	-					
02016	0.9	1.9	2.8	-	-	-	-	-					
02063	-	-	-	1.3	4.1	4.4	0.1	9.8					
02064	-	-	-	0.6	0.8	2.4	0.5	3.9					
02065	-	-	-	0.7	1.1	2.6	0.7	4.3					
02017	0.4	0.8	1.2	1.3	3.6	4.0	0.1	8.9					
02019	0.5	1.1	1.6	0.5	0.9	1.7	0.5	3.1					
02018	0.5	1.1	1.7	0.4	0.9	2.2	0.4	3.5					
02066	0.5	1.1	1.7	0.6	0.7	2.2	0.5	3.5					
02067	-	-	-	0.6	1.1	2.3	0.7	3.9					
02020	1.0	2.1	3.1	-	-	-	-	-					
02021	2.5	4.1	6.6	-	-	-	-	-					
02054	0.3	0.8	1.1	-	-	-	-	-					
02055	0.3	0.9	1.2	-	-	-	-	-					
02022	0.6	0.8	1.4	-	-	-	-	-					
02023	0.2	0.8	1.0	-	-	-	-	-					
02024	0.2	1.2	1.4	-	-	-	-	-					
02025	0.7	1.8	2.5	-	-	-	-	-					
02026	0.6	1.4	2.0	-	-	-	-	-					
02027	0.5	1.7	2.2	-	-	-	-	-					
02070	-	-	-	0.5	0.3	Tr	1.7	0.8					
02036	0	0.9	0.9	-	-	-	-	-					
02037	0	0.8	0.8	-	-	-	-	-					
02056	Tr	1.0	1.0	-	-	-	-	-					
02038	0.2	0.2	0.5	-	-	-	-	-					
02057	0	0.2	0.2	-	-	-	-	-					
02058	0.2	0.6	0.8	-	-	-	-	-					
02059	0.5	1.2	1.8	-	-	-	-	-					
02060	Tr	0.6	0.6	-	-	-	-	-					
02039	Tr	4.1	4.1	-	-	-	-	-					
02061	Tr	1.5	1.5	-	-	-	-	-					
02040	0.3	0.9	1.2	-	-	-	-	-					
02062	Tr	0.7	0.8	-	-	-	-	-					
03030	-	-	-	8.3	Tr	-	-	8.3	ラフィノース： 4.7 g<br>1-ケストース： 0.6 g				
03031	-	-	-	0.3	0	0	Tr	0.3					
