NB2020 [media] data (yossy) 2026-01-08
user	code	origin	base	type	date	zidx	alt
yossy	yo-p-1577-e8a9-db04-4db8	yo-r-0e74-eda8-2bd4-dd71	recipe	jpg	2021-04-24 17:10:56 +0900		K1SI5355.JPG
yossy	yo-p-158c-6eb3-df1c-1de1	yo-r-YHMZjwdBWYPWLQ9Ay2wQ	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-159b-b2ab-49d9-0e19	yo-r-xM5N5HLYcdZjMAvhWk1O	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1616-40ba-c969-f7ee	yo-r-gboeBFug3zJeMWlo0w22	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1634-8687-2bd2-a317	yo-r-c1da-7ab7-de45-fde5	recipe	jpg	2021-09-11 19:54:39 +0900		K1SI5717.JPG
yossy	yo-p-16b4-599f-b176-63d3	yo-r-3QCjNi1o5c7xMpi5Jh6o	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-16bc636c5dc0ab28b001	yo-r-8d6edb12c01c64067049	recipe	jpg	2022-10-14 06:49:39 +0900		K1SI6271.JPG
yossy	yo-p-174a-5afd-279d-ea6c	yo-r-PhLLnfKBJ83zV2Ffpilk	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-175a3f20d41bbf76443c	yo-r-400ab262b3b4c7c4d4f8	recipe	jpg	2023-05-08 06:12:13 +0900		K1SI6918.JPG
yossy	yo-p-17af-bbee-35ff-bcc7	yo-r-RNNkVCyYEgcioo3ggQD2	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-17c0-0c55-e347-91df	yo-r-iXNmx7oi5DcwdcM3jK9Z	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1864-ac91-d627-3d5a	yo-r-llCcmjrLliweUMtEdDwO	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1878-ac4b-209f-c427	yo-r-8992-4ca9-86b3-6ae8	recipe	jpg	2021-04-01 21:35:27 +0900		K1SI5322.JPG
yossy	yo-p-1884-9951-bfb1-3f29	yo-r-97XzP5Wxr3ls0seBTEoE	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-18a6-2795-5d01-4756	yo-r-oHBVwW4UQip033nGZhHw	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
