FN	FORAC	ACEAC	GLYCLAC	LACAC	GLUCAC	OXALAC	MOLAC	SUCAC	FUMAC	MALAC	TARAC	GLUAKAC	CITAC	SALAC	PCHOUAC	CAFFAC	FERAC	CHLRAC	QUINAC	OROTAC	PYROGAC	PROPAC	OA	NoticeOA
04079	-	-	0	-	-	0.1	-	0	-	0.1	-	-	1.5	-	-	-	-	-	-	-	-	-	1.6	
04082	-	-	0	-	-	0.1	-	0	-	0.1	-	-	1.6	-	-	-	-	-	-	-	-	-	1.8	
04096	-	-	-	-	-	0.1	-	-	-	0.2	-	-	1.6	-	-	-	-	-	-	-	-	-	1.9	別名：青大豆きな粉、うぐいす色きな粉あるいはうぐいすきな粉
04032	-	-	-	-	0	0	-	-	-	0	-	-	0.2	-	-	-	-	-	-	-	-	-	0.2	
04097	-	-	-	-	(0)	(0)	-	-	-	(0)	-	-	(0.2)	-	-	-	-	-	-	-	-	-	(0.2)	04032木綿豆腐（凝固剤の種類を問わないもの）から推計
04098	-	-	-	-	(0)	(0)	-	-	-	(0)	-	-	(0.2)	-	-	-	-	-	-	-	-	-	(0.2)	04032木綿豆腐（凝固剤の種類を問わないもの）から推計
04033	-	-	-	-	Tr	0	-	-	-	0	-	-	0.2	-	-	-	-	-	-	-	-	-	0.2	
04099	-	-	-	-	(Tr)	(0)	-	-	-	(0)	-	-	(0.2)	-	-	-	-	-	-	-	-	-	(0.2)	04033絹ごし豆腐（凝固剤の種類を問わないもの）から推計
04100	-	-	-	-	(Tr)	(0)	-	-	-	(0)	-	-	(0.2)	-	-	-	-	-	-	-	-	-	(0.2)	04033絹ごし豆腐（凝固剤の種類を問わないもの）から推計
04113	-	-	-	-	0	0	-	-	-	Tr	-	-	0.3	-	-	-	-	-	-	-	-	-	0.3	
04095	-	-	0	-	-	0	-	0	-	0	-	-	0.1	-	-	-	-	-	-	-	-	-	0.1	
04114	0	0.1	-	Tr	-	Tr	-	0	-	0	-	-	Tr	-	-	-	-	-	-	-	-	0	0.2	
04115	0	0.2	-	0.2	-	0.1	-	Tr	-	Tr	-	-	0.6	-	-	-	-	-	-	-	-	0	1.2	
04052	-	-	-	-	-	0	-	-	-	Tr	-	-	0.2	-	-	-	-	-	-	-	-	-	0.2	
04053	-	-	-	-	-	0	-	-	-	0	-	-	0.2	-	-	-	-	-	-	-	-	-	0.2	
04054	-	-	-	-	-	0	-	-	-	0	-	-	0.2	-	-	-	-	-	-	-	-	-	0.2	
05046	-	-	-	-	-	0.7	-	-	-	Tr	-	-	0.1	-	-	-	-	-	-	-	-	-	0.8	
05047	-	-	0	-	-	0	-	-	-	0.2	-	-	0.2	-	-	-	-	-	-	-	-	-	0.4	
05048	-	-	-	-	-	0	-	-	-	0.2	-	-	0.2	-	-	-	-	-	-	-	-	-	0.4	
05027	-	-	-	-	-	Tr	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	0.2	
05034	-	-	-	-	-	0.1	-	-	-	0.1	-	-	0.2	-	-	-	-	-	-	-	-	-	0.3	
05035	-	-	-	-	-	0.1	-	-	-	0.1	-	-	0.2	-	-	-	-	-	-	-	-	-	0.4	
05036	-	-	-	-	-	0.1	-	-	-	0.1	-	-	0.2	-	-	-	-	-	-	-	-	-	0.3	
05037	-	-	-	-	-	0.1	-	-	-	Tr	-	-	0.1	-	-	-	-	-	-	-	-	-	0.3	
06402	-	-	-	-	-	0.3	-	-	-	0.1	-	-	0.1	-	-	-	-	-	-	-	-	-	0.5	
