FN	FORAC	ACEAC	GLYCLAC	LACAC	GLUCAC	OXALAC	MOLAC	SUCAC	FUMAC	MALAC	TARAC	GLUAKAC	CITAC	SALAC	PCHOUAC	CAFFAC	FERAC	CHLRAC	QUINAC	OROTAC	PYROGAC	PROPAC	OA	NoticeOA
17121	-	(1.0)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	(1.0)	原材料配合割合から推計
17123	-	(1.1)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	(1.1)	原材料配合割合から推計
17051	-	Tr	-	Tr	-	-	-	Tr	-	0.1	-	-	0.2	-	-	-	-	-	-	-	-	-	0.4	
17125	-	-	-	-	-	(0)	-	-	-	-	-	-	(0)	-	-	-	-	-	-	-	-	-	(0)	原材料配合割合から推計
17136	0	0.2	-	0.3	-	0	-	Tr	-	0.1	-	-	0.4	-	-	-	-	-	-	-	-	-	1.1	
17126	-	(Tr)	-	(0.2)	-	-	-	(Tr)	-	-	-	-	(Tr)	-	-	-	-	-	-	-	-	-	(0.3)	原材料配合割合から推計
17054	-	0.1	-	0	0	-	-	0	-	0	-	-	Tr	-	-	-	-	-	-	-	-	-	0.1	
17069	-	-	-	-	-	-	-	-	-	(0.1)	-	-	(0.1)	-	-	-	-	-	-	-	-	-	(0.2)	食塩相当量(1.5g）を除いた上で06103しょうが生から推計
18053	-	Tr	-	Tr	-	-	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	0.1	
18054	-	-	-	0.3	-	-	-	-	-	0	-	-	Tr	-	-	-	-	-	-	-	-	-	0.3	
18055	-	-	-	0	-	-	-	Tr	-	Tr	-	-	Tr	-	-	-	-	-	-	-	-	-	0.1	
18056	-	Tr	-	Tr	-	-	-	-	-	Tr	-	-	0.1	-	-	-	-	-	-	-	-	-	0.2	
18057	-	0	-	Tr	-	-	-	-	-	0	-	-	Tr	-	-	-	-	-	-	-	-	-	0.1	
